Team Season,Wins,Losses,Win_Pct
1949-01-01,22,38,0.36700000000000005
1950-01-01,40,28,0.588
1951-01-01,32,36,0.47100000000000003
1952-01-01,29,37,0.439
1953-01-01,36,33,0.522
1954-01-01,40,32,0.556
1955-01-01,43,29,0.597
1956-01-01,37,35,0.514
1957-01-01,34,38,0.47200000000000003
1958-01-01,33,39,0.45799999999999996
1959-01-01,28,44,0.389
1960-01-01,30,45,0.4
1961-01-01,34,45,0.43
1962-01-01,37,43,0.46299999999999997
1963-01-01,34,46,0.425
1964-01-01,23,57,0.28800000000000003
1965-01-01,31,49,0.38799999999999996
1966-01-01,22,58,0.275
1967-01-01,30,51,0.37
1968-01-01,40,42,0.488
1969-01-01,32,50,0.39
1970-01-01,31,51,0.37799999999999995
1971-01-01,45,37,0.5489999999999999
1972-01-01,26,56,0.317
1973-01-01,40,42,0.488
1974-01-01,52,30,0.634
1975-01-01,40,42,0.488
1976-01-01,36,46,0.439
1977-01-01,44,38,0.537
1978-01-01,38,44,0.46299999999999997
1979-01-01,30,52,0.366
1980-01-01,16,66,0.195
1981-01-01,21,61,0.256
1982-01-01,39,43,0.47600000000000003
1983-01-01,37,45,0.451
1984-01-01,49,33,0.598
1985-01-01,46,36,0.561
1986-01-01,46,36,0.561
1987-01-01,52,30,0.634
1988-01-01,54,28,0.659
1989-01-01,63,19,0.768
1990-01-01,59,23,0.72
1991-01-01,50,32,0.61
1992-01-01,48,34,0.585
1993-01-01,40,42,0.488
1994-01-01,20,62,0.244
1995-01-01,28,54,0.341
1996-01-01,46,36,0.561
1997-01-01,54,28,0.659
1998-01-01,37,45,0.451
1999-01-01,29,21,0.58
2000-01-01,42,40,0.512
2001-01-01,32,50,0.39
2002-01-01,50,32,0.61
2003-01-01,50,32,0.61
2004-01-01,54,28,0.659
2005-01-01,54,28,0.659
2006-01-01,64,18,0.78
2007-01-01,53,29,0.6459999999999999
2008-01-01,59,23,0.72
2009-01-01,39,43,0.47600000000000003
2010-01-01,27,55,0.32899999999999996
2011-01-01,30,52,0.366
2012-01-01,25,41,0.379
2013-01-01,29,53,0.354
2014-01-01,29,53,0.354
2015-01-01,32,50,0.39
2016-01-01,44,38,0.537
2017-01-01,37,45,0.451
