Season_Year,Wins,Losses,Win_Pct
1927-01-01,12,28,0.3
1928-01-01,19,19,0.5
1929-01-01,19,16,0.5428571428571428
1930-01-01,14,24,0.3684210526315789
1931-01-01,16,21,0.43243243243243246
1932-01-01,18,20,0.47368421052631576
1933-01-01,25,15,0.625
1934-01-01,24,14,0.631578947368421
1935-01-01,19,22,0.4634146341463415
1936-01-01,24,16,0.6
1937-01-01,25,14,0.6410256410256411
1938-01-01,12,25,0.32432432432432434
1939-01-01,18,24,0.42857142857142855
1940-01-01,16,26,0.38095238095238093
1941-01-01,21,16,0.5675675675675675
1942-01-01,19,25,0.4318181818181818
1943-01-01,25,14,0.6410256410256411
1944-01-01,26,18,0.5909090909090909
1945-01-01,31,14,0.6888888888888889
1946-01-01,20,20,0.5
1947-01-01,22,27,0.4489795918367347
1948-01-01,30,18,0.625
1949-01-01,34,19,0.6415094339622641
1950-01-01,37,19,0.6607142857142857
1951-01-01,44,13,0.7719298245614035
1952-01-01,44,14,0.7586206896551724
1953-01-01,36,16,0.6923076923076923
1954-01-01,37,19,0.6607142857142857
1955-01-01,42,17,0.711864406779661
1956-01-01,30,24,0.5555555555555556
1957-01-01,38,20,0.6551724137931034
1958-01-01,29,29,0.5
1959-01-01,25,37,0.4032258064516129
1960-01-01,26,29,0.4727272727272727
1961-01-01,25,29,0.46296296296296297
1962-01-01,23,33,0.4107142857142857
1963-01-01,32,25,0.5614035087719298
1964-01-01,30,29,0.5084745762711864
1965-01-01,40,23,0.6349206349206349
1966-01-01,31,27,0.5344827586206896
1967-01-01,27,39,0.4090909090909091
1968-01-01,27,35,0.43548387096774194
1969-01-01,33,31,0.515625
1970-01-01,40,21,0.6557377049180327
1971-01-01,22,45,0.3283582089552239
1972-01-01,33,35,0.4852941176470588
1973-01-01,37,29,0.5606060606060606
1974-01-01,29,39,0.4264705882352941
1975-01-01,23,45,0.3382352941176471
1976-01-01,26,44,0.37142857142857144
1977-01-01,16,55,0.22535211267605634
1978-01-01,32,34,0.48484848484848486
1979-01-01,23,41,0.359375
1980-01-01,26,43,0.37681159420289856
1981-01-01,19,43,0.3064516129032258
1982-01-01,21,47,0.3088235294117647
1983-01-01,21,44,0.3230769230769231
1984-01-01,31,42,0.4246575342465753
1985-01-01,27,41,0.39705882352941174
1986-01-01,17,57,0.22972972972972974
1987-01-01,34,36,0.4857142857142857
1988-01-01,41,28,0.5942028985507246
1989-01-01,34,34,0.5
1990-01-01,28,38,0.42424242424242425
1991-01-01,34,38,0.4722222222222222
1992-01-01,43,25,0.6323529411764706
1993-01-01,47,28,0.6266666666666667
1994-01-01,46,30,0.6052631578947368
1995-01-01,33,11,0.75
1996-01-01,62,13,0.8266666666666667
1997-01-01,38,26,0.59375
1998-01-01,44,23,0.6567164179104478
1999-01-01,43,32,0.5733333333333334
2000-01-01,48,22,0.6857142857142857
2001-01-01,49,20,0.7101449275362319
2002-01-01,51,17,0.75
2003-01-01,48,20,0.7058823529411765
2004-01-01,48,21,0.6956521739130435
2005-01-01,1,-1,0.0
2006-01-01,58,16,0.7837837837837838
2007-01-01,50,19,0.7246376811594203
2008-01-01,54,21,0.72
2009-01-01,51,21,0.7083333333333334
2010-01-01,44,24,0.6470588235294118
2011-01-01,47,25,0.6527777777777778
2012-01-01,48,28,0.631578947368421
2013-01-01,24,16,0.6
2014-01-01,39,28,0.582089552238806
2015-01-01,43,25,0.6323529411764706
2016-01-01,41,30,0.5774647887323944
2017-01-01,33,36,0.4782608695652174
