Season,Wins,Losses,Win_Pct
1901-01-01,74,61,0.5479999999999999
1902-01-01,52,83,0.385
1903-01-01,65,71,0.478
1904-01-01,62,90,0.408
1905-01-01,79,74,0.516
1906-01-01,71,78,0.47700000000000004
1907-01-01,92,58,0.613
1908-01-01,90,63,0.588
1909-01-01,98,54,0.645
1910-01-01,86,68,0.5579999999999999
1911-01-01,89,65,0.578
1912-01-01,69,84,0.451
1913-01-01,66,87,0.431
1914-01-01,80,73,0.523
1915-01-01,100,54,0.649
1916-01-01,87,67,0.565
1917-01-01,78,75,0.51
1918-01-01,55,71,0.43700000000000006
1919-01-01,80,60,0.5710000000000001
1920-01-01,61,93,0.396
1921-01-01,71,82,0.46399999999999997
1922-01-01,79,75,0.513
1923-01-01,83,71,0.539
1924-01-01,86,68,0.5579999999999999
1925-01-01,81,73,0.526
1926-01-01,79,75,0.513
1927-01-01,82,71,0.536
1928-01-01,68,86,0.442
1929-01-01,70,84,0.455
1930-01-01,75,79,0.48700000000000004
1931-01-01,61,93,0.396
1932-01-01,76,75,0.503
1933-01-01,75,79,0.48700000000000004
1934-01-01,101,53,0.6559999999999999
1935-01-01,93,58,0.616
1936-01-01,83,71,0.539
1937-01-01,89,65,0.578
1938-01-01,84,70,0.545
1939-01-01,81,73,0.526
1940-01-01,90,64,0.584
1941-01-01,75,79,0.48700000000000004
1942-01-01,73,81,0.474
1943-01-01,78,76,0.506
1944-01-01,88,66,0.5710000000000001
1945-01-01,88,65,0.575
1946-01-01,92,62,0.597
1947-01-01,85,69,0.552
1948-01-01,78,76,0.506
1949-01-01,87,67,0.565
1950-01-01,95,59,0.617
1951-01-01,73,81,0.474
1952-01-01,50,104,0.325
1953-01-01,60,94,0.39
1954-01-01,68,86,0.442
1955-01-01,79,75,0.513
1956-01-01,82,72,0.532
1957-01-01,78,76,0.506
1958-01-01,77,77,0.5
1959-01-01,76,78,0.494
1960-01-01,71,83,0.461
1961-01-01,101,61,0.623
1962-01-01,85,76,0.528
1963-01-01,79,83,0.488
1964-01-01,85,77,0.525
1965-01-01,89,73,0.5489999999999999
1966-01-01,88,74,0.5429999999999999
1967-01-01,91,71,0.562
1968-01-01,103,59,0.636
1969-01-01,90,72,0.556
1970-01-01,79,83,0.488
1971-01-01,91,71,0.562
1972-01-01,86,70,0.551
1973-01-01,85,77,0.525
1974-01-01,72,90,0.444
1975-01-01,57,102,0.358
1976-01-01,74,87,0.46
1977-01-01,74,88,0.457
1978-01-01,86,76,0.531
1979-01-01,85,76,0.528
1980-01-01,84,78,0.519
1981-01-01,31,26,0.544
1982-01-01,83,79,0.512
1983-01-01,92,70,0.568
1984-01-01,104,58,0.642
1985-01-01,84,77,0.522
1986-01-01,87,75,0.537
1987-01-01,98,64,0.605
1988-01-01,88,74,0.5429999999999999
1989-01-01,59,103,0.364
1990-01-01,79,83,0.488
1991-01-01,84,78,0.519
1992-01-01,75,87,0.46299999999999997
1993-01-01,85,77,0.525
1994-01-01,53,62,0.461
1995-01-01,60,84,0.41700000000000004
1996-01-01,53,109,0.327
1997-01-01,79,83,0.488
1998-01-01,65,97,0.401
1999-01-01,69,92,0.429
2000-01-01,79,83,0.488
2001-01-01,66,96,0.40700000000000003
2002-01-01,55,106,0.342
2003-01-01,43,119,0.265
2004-01-01,72,90,0.444
2005-01-01,71,91,0.43799999999999994
2006-01-01,95,67,0.586
2007-01-01,88,74,0.5429999999999999
2008-01-01,74,88,0.457
2009-01-01,86,77,0.528
2010-01-01,81,81,0.5
2011-01-01,95,67,0.586
2012-01-01,88,74,0.5429999999999999
2013-01-01,93,69,0.574
2014-01-01,90,72,0.556
2015-01-01,74,87,0.46
2016-01-01,86,75,0.534
2017-01-01,64,98,0.395
